Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0,0,2.2204E-16,0,0,1.3323E-15,0,0,4.885E-15
0.00023634,0.23634,0.51521,0.00023634,0.23634,0.29343,0.00023634,0.23634,0.67147
0.00047269,0.47269,0.47342,0.00047269,0.47269,0.30965,0.00047269,0.47269,0.58881
0.00070903,0.70903,0.54407,0.00070903,0.70903,0.2952,0.00070903,0.70903,0.71941
0.00094538,0.94538,0.6776,0.00094538,0.94538,0.49943,0.00094538,0.94538,0.80314
0.0011817,1.1817,0.63016,0.0011817,1.1817,0.34758,0.0011817,1.1817,0.82925
0.0014181,1.4181,0.82063,0.0014181,1.4181,0.47152,0.0014181,1.4181,1.0666
0.0016544,1.6544,0.83936,0.0016544,1.6544,0.5756,0.0016544,1.6544,1.0252
0.0018908,1.8908,1.0008,0.0018908,1.8908,0.86881,0.0018908,1.8908,1.0938
0.0021271,2.1271,1.6232,0.0021271,2.1271,1.1085,0.0021271,2.1271,1.9857
0.0023634,2.3634,3.852,0.0023634,2.3634,4.3378,0.0023634,2.3634,3.5098
0.0025998,2.5998,3.2286,0.0025998,2.5998,3.5126,0.0025998,2.5998,3.0286
0.0028361,2.8361,3.0242,0.0028361,2.8361,3.1802,0.0028361,2.8361,2.9142
0.0030725,3.0725,5.0339,0.0030725,3.0725,5.2143,0.0030725,3.0725,4.9067
0.0033088,3.3088,9.0244,0.0033088,3.3088,6.4088,0.0033088,3.3088,10.867
0.0035452,3.5452,11.633,0.0035452,3.5452,10.063,0.0035452,3.5452,12.739
0.0037815,3.7815,7.08,0.0037815,3.7815,7.0421,0.0037815,3.7815,7.1068
0.0040178,4.0178,3.3693,0.0040178,4.0178,2.6383,0.0040178,4.0178,3.8843
0.0042542,4.2542,4.2779,0.0042542,4.2542,2.2049,0.0042542,4.2542,5.7385
0.0044905,4.4905,3.8158,0.0044905,4.4905,1.6168,0.0044905,4.4905,5.3651
0.0047269,4.7269,4.7242,0.0047269,4.7269,3.8593,0.0047269,4.7269,5.3336
0.0049632,4.9632,10.639,0.0049632,4.9632,6.5031,0.0049632,4.9632,13.553
0.0051996,5.1996,12.359,0.0051996,5.1996,7.7579,0.0051996,5.1996,15.601
0.0054359,5.4359,8.7563,0.0054359,5.4359,7.3386,0.0054359,5.4359,9.7551
0.0056723,5.6723,9.0148,0.0056723,5.6723,6.8794,0.0056723,5.6723,10.519
0.0059086,5.9086,15.566,0.0059086,5.9086,14.551,0.0059086,5.9086,16.281
0.0061449,6.1449,17.186,0.0061449,6.1449,19.24,0.0061449,6.1449,15.739
0.0063813,6.3813,12.902,0.0063813,6.3813,14.836,0.0063813,6.3813,11.539
0.0066176,6.6176,14.205,0.0066176,6.6176,17.457,0.0066176,6.6176,11.914
0.006854,6.854,14.062,0.006854,6.854,17.978,0.006854,6.854,11.304
0.0070903,7.0903,10.405,0.0070903,7.0903,10.197,0.0070903,7.0903,10.551
0.0073267,7.3267,18.434,0.0073267,7.3267,18.004,0.0073267,7.3267,18.737
0.007563,7.563,19.478,0.007563,7.563,18.212,0.007563,7.563,20.369
0.0077994,7.7994,11.547,0.0077994,7.7994,10.015,0.0077994,7.7994,12.626
0.0080357,8.0357,10.111,0.0080357,8.0357,8.103,0.0080357,8.0357,11.526
0.008272,8.272,11.863,0.008272,8.272,10.039,0.008272,8.272,13.148
0.0085084,8.5084,13.666,0.0085084,8.5084,12.835,0.0085084,8.5084,14.251
0.0087447,8.7447,13.383,0.0087447,8.7447,13.658,0.0087447,8.7447,13.189
0.0089811,8.9811,12.511,0.0089811,8.9811,13.494,0.0089811,8.9811,11.819
0.0092174,9.2174,10.212,0.0092174,9.2174,10.217,0.0092174,9.2174,10.208
0.0094538,9.4538,18.362,0.0094538,9.4538,21.247,0.0094538,9.4538,16.329
0.0096901,9.6901,19.866,0.0096901,9.6901,18.422,0.0096901,9.6901,20.883
0.0099264,9.9264,17.623,0.0099264,9.9264,15.23,0.0099264,9.9264,19.31
