Frequency (eV),Frequency (meV),vDOS
0,0,1.11E-16
0.000206793,0.206793346,7.8074
0.000413599,0.413599089,8.1212
0.000620392,0.620392435,9.3562
0.000827198,0.827198179,9.7296
0.001033992,1.033991524,10.011
0.001240834,1.240834464,10.051
0.00144764,1.447640208,9.6749
0.001654446,1.654445952,10.388
0.001861252,1.861251695,10.783
0.002067933,2.067933455,10.81
0.002274739,2.274739199,10.139
0.002481545,2.481544943,10.62
0.002688351,2.688350687,11.099
0.002895156,2.895156431,11.869
0.003101962,3.101962175,12.42
0.003308768,3.308767919,13.063
0.003515574,3.515573663,15.109
0.003722379,3.722379407,15.496
0.003929185,3.929185151,15.161
0.004135991,4.135990895,15.614
0.004342797,4.342796639,15.51
0.004549602,4.549602382,17.897
0.004756408,4.756408126,16.771
0.004963214,4.96321387,16.853
0.00517002,5.170019614,18.955
0.005376825,5.376825358,17.795
0.005583631,5.583631102,19.277
0.005790313,5.790312862,16.261
0.005997119,5.997118606,16.04
0.006203924,6.20392435,17.854
0.00641073,6.410730094,20.162
0.006617536,6.617535838,23.137
0.006824342,6.824341582,21.812
0.007031147,7.031147326,19.174
0.007237953,7.237953069,20.797
0.007444759,7.444758813,21.16
0.007651565,7.651564557,19.051
0.00785837,7.858370301,18.612
0.008065176,8.065176045,18.632
0.008271982,8.271981789,19.271
0.008478788,8.478787533,18.883
0.008685593,8.685593277,18.2
0.008892399,8.892399021,16.094
0.009099205,9.099204765,16.502
0.009306011,9.306010509,18.284
0.009512692,9.512692269,17.374
0.009719498,9.719498013,14.59
0.009926304,9.926303756,16.517
0.01013311,10.1331095,15.603
0.010339915,10.33991524,14.065
0.010546721,10.54672099,17.165
0.010753527,10.75352673,15.281
0.010960332,10.96033248,16.385
0.011167138,11.16713822,20.125
0.011373944,11.37394396,19.877
0.01158075,11.58074971,16.097
0.011787555,11.78755545,14.035
0.011994361,11.9943612,14.469
0.012201167,12.20116694,16.223
0.012408345,12.40834464,15.217
0.012614159,12.61415851,12.954
0.012821212,12.82121222,13.319
0.013028266,13.02826593,12.962
0.01323532,13.23531964,14.176
0.013442373,13.44237336,14.346
0.013648187,13.64818723,14.306
0.013855241,13.85524094,12.958
0.014062295,14.06229465,11.732
0.014269348,14.26934836,12.163
0.014476402,14.47640208,12.489
0.014682216,14.68221595,12.214
0.01488927,14.88926966,12.604
0.015096323,15.09632337,12.23
0.015303377,15.30337708,12.987
0.015510431,15.5104308,11.608
0.015716245,15.71624467,11.342
0.015923298,15.92329838,11.461
0.016130352,16.13035209,11.214
0.016337406,16.3374058,11.168
0.01654446,16.54445952,10.15
0.016750273,16.75027339,10.21
0.016957327,16.9573271,10.732
0.017164381,17.16438081,10.461
0.017371435,17.37143452,11.1
0.017578488,17.57848824,11.819
0.017784302,17.78430211,10.172
0.017991356,17.99135582,9.3552
0.01819841,18.19840953,10.111
0.018405463,18.40546324,9.6919
0.018612517,18.61251695,9.9441
0.018818331,18.81833082,10.735
0.019025385,19.02538454,10.633
0.019232438,19.23243825,10.178
0.019439492,19.43949196,10.869
0.019645306,19.64530583,11.152
0.01985236,19.85235954,10.082
0.020059413,20.05941326,11.63
0.020266467,20.26646697,10.819
0.020473521,20.47352068,9.3449
0.020679335,20.67933455,9.6673
0.020886388,20.88638826,9.8363
0.021093442,21.09344198,9.8825
0.021300496,21.30049569,10.299
0.021507549,21.5075494,10.358
0.021713363,21.71336327,9.5625
0.021920417,21.92041698,10.435
0.022127471,22.1274707,11.032
0.022334524,22.33452441,10.896
0.022541578,22.54157812,11.078
0.022747392,22.74739199,10.921
0.022954446,22.9544457,11.729
0.023161499,23.16149942,11.467
0.023368553,23.36855313,11.246
0.023575607,23.57560684,11.465
0.023781421,23.78142071,10.803
0.023988474,23.98847442,10.63
0.024195528,24.19552814,10.432
0.024402582,24.40258185,9.8094
0.024609636,24.60963556,10.508
0.024815449,24.81544943,11.658
0.025022503,25.02250314,10.897
0.025229557,25.22955686,11.638
0.025436611,25.43661057,11.689
0.025643664,25.64366428,11.454
0.025849478,25.84947815,11.692
0.026056532,26.05653186,11.898
0.026263586,26.26358558,11.041
0.026470639,26.47063929,9.4063
0.026676453,26.67645316,9.4318
0.026883507,26.88350687,9.6487
0.027090561,27.09056058,9.3461
0.027297614,27.29761429,10.515
0.027504668,27.50466801,10.985
0.027710482,27.71048188,10.656
0.027917536,27.91753559,10.466
0.028124589,28.1245893,9.5775
0.028331643,28.33164301,10.427
0.028538697,28.53869673,10.974
0.028744511,28.7445106,9.6499
0.028951564,28.95156431,10.069
0.029158618,29.15861802,9.9641
0.029365672,29.36567173,9.6878
0.029572725,29.57272545,9.7956
0.029778539,29.77853932,9.0767
0.029985593,29.98559303,9.8393
0.030192647,30.19264674,10.575
0.0303997,30.39970045,11.329
0.030606754,30.60675417,9.3531
0.030812568,30.81256804,10.678
0.031019622,31.01962175,11.364
0.031226675,31.22667546,9.5787
0.031433729,31.43372917,9.8679
0.031640783,31.64078289,10.258
0.031846597,31.84659676,11.526
0.03205365,32.05365047,11.821
0.032260704,32.26070418,11.972
0.032467758,32.46775789,11.617
0.032674812,32.67481161,11.2
0.032880625,32.88062548,11.05
0.033087679,33.08767919,10.693
0.033294733,33.2947329,10.37
0.033501787,33.50178661,10.779
0.0337076,33.70760048,10.656
0.033914654,33.9146542,10.731
0.034121708,34.12170791,12.023
0.034328762,34.32876162,11.291
0.034535815,34.53581533,11.639
0.034741629,34.7416292,11.467
0.034948683,34.94868292,12.099
0.035155737,35.15573663,12.618
0.03536279,35.36279034,10.989
0.035569844,35.56984405,9.9823
0.035775658,35.77565792,10.258
0.035982712,35.98271163,11.231
0.036189765,36.18976535,11.394
0.036396819,36.39681906,10.941
0.036603873,36.60387277,11.54
0.036809687,36.80968664,11.221
0.03701674,37.01674035,11.901
0.037223794,37.22379407,12.163
0.037430848,37.43084778,11.229
0.037637901,37.63790149,10.403
0.037843715,37.84371536,12.106
0.038050769,38.05076907,12.621
0.038257823,38.25782279,11.288
0.038464876,38.4648765,12.05
0.03867193,38.67193021,12.178
0.038877744,38.87774408,10.976
0.039084798,39.08479779,11.132
0.039291852,39.29185151,11.861
0.039498905,39.49890522,12.106
0.039705959,39.70595893,11.297
0.039911773,39.9117728,11.547
0.040118827,40.11882651,11.366
0.04032588,40.32588023,11.155
0.040532934,40.53293394,11.864
0.040739988,40.73998765,11.346
0.040945802,40.94580152,11.237
0.041152855,41.15285523,11.688
0.041359909,41.35990895,11.955
0.041566963,41.56696266,11.278
0.041772777,41.77277653,11.814
0.04197983,41.97983024,11.86
0.042186884,42.18688395,11.079
0.042393938,42.39393767,10.747
0.042600991,42.60099138,11.326
0.042806805,42.80680525,12.068
0.043013859,43.01385896,11.556
0.043220913,43.22091267,11.331
0.043427966,43.42796639,11.243
0.04363502,43.6350201,11.64
0.043840834,43.84083397,10.78
0.044047888,44.04788768,11.544
0.044254941,44.25494139,11.132
0.044461995,44.46199511,10.732
0.044669049,44.66904882,10.306
0.044874863,44.87486269,11.49
0.045081916,45.0819164,12.178
0.04528897,45.28897011,12.019
0.045496024,45.49602382,12.576
0.045703078,45.70307754,12.273
0.045908891,45.90889141,13.618
0.046115945,46.11594512,14.158
0.046322999,46.32299883,13.832
0.046530053,46.53005254,12.486
0.046737106,46.73710626,12.372
0.04694292,46.94292013,13.354
0.047149974,47.14997384,14.092
0.047357028,47.35702755,14.811
0.047564081,47.56408126,13.855
0.047771135,47.77113498,12.891
0.047976949,47.97694885,12.618
0.048184003,48.18400256,12.895
0.048391056,48.39105627,14.289
0.04859811,48.59810998,13.888
0.048803924,48.80392385,13.288
0.049010978,49.01097757,13.706
0.049218031,49.21803128,15.01
0.049425085,49.42508499,15.323
0.049632139,49.6321387,13.984
0.049837953,49.83795257,14.134
0.050045006,50.04500629,14.137
0.05025206,50.25206,13.874
0.050459114,50.45911371,15.618
0.050666167,50.66616742,14.666
0.050871981,50.87198129,14.381
0.051079035,51.07903501,15.002
0.051286089,51.28608872,14.039
0.051493142,51.49314243,14.127
0.051700196,51.70019614,14.213
0.05190601,51.90601001,14.106
0.052113064,52.11306373,14.067
0.052320117,52.32011744,14.927
0.052527171,52.52717115,16.151
0.052734225,52.73422486,17.051
0.052940039,52.94003873,17.509
0.053147092,53.14709245,16.344
0.053354146,53.35414616,16.273
0.0535612,53.56119987,17.15
0.053768254,53.76825358,17.524
0.053974067,53.97406745,17.114
0.054181121,54.18112116,16.972
0.054388175,54.38817488,16.001
0.054595229,54.59522859,15.015
0.054802282,54.8022823,15.983
0.055008096,55.00809617,19.041
0.05521515,55.21514988,20.309
0.055422204,55.4222036,18.681
0.055629257,55.62925731,19.814
0.055836311,55.83631102,20.537
0.056042125,56.04212489,18.899
0.056249179,56.2491786,19.724
0.056456232,56.45623232,20.154
0.056663286,56.66328603,20.381
0.0568691,56.8690999,20.129
0.057076154,57.07615361,21.956
0.057283207,57.28320732,22.424
0.057490261,57.49026104,19.935
0.057697315,57.69731475,19.147
0.057903129,57.90312862,19.251
0.058110182,58.11018233,20.358
0.058317236,58.31723604,21.443
0.05852429,58.52428976,21.346
0.058731343,58.73134347,23.259
0.058937157,58.93715734,22.953
0.059144211,59.14421105,22.755
0.059351265,59.35126476,23.332
0.059558318,59.55831848,26.142
0.059765372,59.76537219,27.224
0.059971186,59.97118606,22.649
0.06017824,60.17823977,19.835
0.060385293,60.38529348,20.983
0.060592347,60.5923472,22.044
0.060799401,60.79940091,21.91
0.061005215,61.00521478,20.457
0.061212268,61.21226849,21.464
0.061419322,61.4193222,21.753
0.061626376,61.62637592,22.478
0.06183343,61.83342963,25.046
0.062039243,62.0392435,23.715
0.062246297,62.24629721,24.48
0.062453351,62.45335092,26.427
0.062660405,62.66040464,27.549
0.062867458,62.86745835,27.848
0.063073272,63.07327222,27.741
0.063280326,63.28032593,29.245
0.06348738,63.48737964,28.348
0.063694433,63.69443335,27.233
0.063900247,63.90024722,28.616
0.064107301,64.10730094,29.075
0.064314355,64.31435465,27.847
0.064521408,64.52140836,27.441
0.064728462,64.72846207,24.311
0.064934276,64.93427594,24.252
0.06514133,65.14132966,28.659
0.065348383,65.34838337,28.061
0.065555437,65.55543708,25.94
0.065762491,65.76249079,27.495
0.065968305,65.96830466,29.458
0.066175358,66.17535838,31.094
0.066382412,66.38241209,31.34
0.066589466,66.5894658,29.299
0.06679652,66.79651951,30.642
0.067002333,67.00233338,31.025
0.067209387,67.2093871,31.886
0.067416441,67.41644081,32.833
0.067623495,67.62349452,32.864
0.067830548,67.83054823,31.878
0.068036362,68.0363621,28.5
0.068243416,68.24341582,31.619
0.06845047,68.45046953,34.514
0.068657523,68.65752324,30.53
0.068864577,68.86457695,27.49
0.069070391,69.07039082,29.205
0.069277445,69.27744454,31.734
0.069484498,69.48449825,29.018
0.069691552,69.69155196,26.152
0.069898606,69.89860567,28.575
0.07010442,70.10441954,32.307
0.070311473,70.31147326,31.831
0.070518527,70.51852697,32.766
0.070725581,70.72558068,33.119
0.070932634,70.93263439,30.736
0.071138448,71.13844826,30.493
0.071345502,71.34550198,30.156
0.071552556,71.55255569,30.843
0.071759609,71.7596094,29.731
0.071965423,71.96542327,30.777
0.072172477,72.17247698,31.94
0.072379531,72.37953069,31.624
0.072586584,72.58658441,33.312
0.072793638,72.79363812,31.365
0.072999452,72.99945199,31.388
0.073206506,73.2065057,32.22
0.073413559,73.41355941,29.129
0.073620613,73.62061313,28.294
0.073827667,73.82766684,31.744
0.074033481,74.03348071,30.819
0.074240534,74.24053442,31.332
0.074447588,74.44758813,30.119
0.074654642,74.65464185,29.6
0.074861696,74.86169556,33.966
0.075067509,75.06750943,36.96
0.075274563,75.27456314,38.958
0.075481617,75.48161685,35.97
0.075688671,75.68867057,31.543
0.075895724,75.89572428,35.18
0.076101538,76.10153815,35.442
0.076308592,76.30859186,29.986
0.076515646,76.51564557,31.107
0.076722699,76.72269929,35.323
0.076929753,76.929753,32.201
0.077135567,77.13556687,28.9
0.077342621,77.34262058,31.027
0.077549674,77.54967429,30.354
0.077756728,77.75672801,32.152
0.077963782,77.96378172,32.332
0.078169596,78.16959559,30.684
0.078376649,78.3766493,31.255
0.078583703,78.58370301,33.911
0.078790757,78.79075673,35.078
0.078996571,78.9965706,33.61
0.079203624,79.20362431,33.438
0.079410678,79.41067802,32.037
0.079617732,79.61773173,30.273
0.079824785,79.82478545,29.286
0.080030599,80.03059932,29.854
0.080237653,80.23765303,32.935
0.080444707,80.44470674,38.852
0.08065176,80.65176045,34.557
0.080858814,80.85881416,29.336
0.081064628,81.06462803,31.398
0.081271682,81.27168175,30.271
0.081478735,81.47873546,29.439
0.081685789,81.68578917,31.424
