Frequency (eV),Frequency (meV),vDOS 300K
0,0,1.59336E-13
0.00021734,0.21734,32.6388
0.00043468,0.43468,38.2836
0.00065202,0.65202,53.3748
0.00086936,0.86936,53.82
0.0010867,1.0867,69.3468
0.001304,1.304,90.6516
0.0015214,1.5214,69.4248
0.0017387,1.7387,68.0052
0.0019561,1.9561,72.2952
0.0021734,2.1734,74.9544
0.0023907,2.3907,76.8492
0.0026081,2.6081,79.7868
0.0028254,2.8254,87.852
0.0030428,3.0428,101.9892
0.0032601,3.2601,92.5932
0.0034774,3.4774,83.4156
0.0036948,3.6948,94.6956
0.0039121,3.9121,92.1576
0.0041295,4.1295,94.6716
0.0043468,4.3468,86.5476
0.0045642,4.5642,58.7328
0.0047815,4.7815,57.7392
0.0049988,4.9988,66.6048
0.0052162,5.2162,63.2256
0.0054335,5.4335,74.1432
0.0056509,5.6509,70.4364
0.0058682,5.8682,71.6568
0.0060855,6.0855,64.884
0.0063029,6.3029,55.0572
0.0065202,6.5202,54.5652
0.0067376,6.7376,41.2452
0.0069549,6.9549,45.81
0.0071722,7.1722,45.8328
0.0073896,7.3896,46.7712
0.0076069,7.6069,43.6176
0.0078243,7.8243,47.7684
0.0080416,8.0416,49.776
0.0082589,8.2589,32.4396
0.0084763,8.4763,30.5124
0.0086936,8.6936,34.0596
0.008911,8.911,45.8832
0.0091283,9.1283,48.1968
0.0093456,9.3456,48.2064
0.009563,9.563,46.4148
0.0097803,9.7803,36.6204
0.0099977,9.9977,32.6856
0.010215,10.215,26.9748
0.010432,10.432,39.0612
0.01065,10.65,53.6028
0.010867,10.867,42.2832
0.011084,11.084,40.5036
0.011302,11.302,34.9608
0.011519,11.519,32.088
0.011736,11.736,32.9412
0.011954,11.954,37.0812
0.012171,12.171,41.886
0.012388,12.388,42.8856
0.012606,12.606,46.9788
0.012823,12.823,44.184
0.01304,13.04,37.89
0.013258,13.258,36.264
0.013475,13.475,29.6952
0.013692,13.692,37.2432
0.01391,13.91,45.1944
0.014127,14.127,42.03
0.014344,14.344,41.6136
0.014562,14.562,39.4248
0.014779,14.779,43.086
0.014997,14.997,36.3888
0.015214,15.214,40.6236
0.015431,15.431,49.5036
0.015649,15.649,49.3284
0.015866,15.866,38.8332
0.016083,16.083,37.2024
0.016301,16.301,43.8504
0.016518,16.518,45.6276
