Frequency (eV),Frequency (meV),vDOS Room Temperature,Frequency,Frequency (meV),vDOS Cryo Temperature
0,0,18,0,0,4.5186E-14
0.0002068,0.2068,52.8792,0.0002068,0.2068,114.38
0.0004136,0.4136,51.4812,0.0004136,0.4136,35.283
0.0006204,0.6204,47.7108,0.0006204,0.6204,42.512
0.0008272,0.8272,42.3888,0.0008272,0.8272,32.098
0.001034,1.034,51.5892,0.001034,1.034,35.941
0.0012408,1.2408,61.824,0.0012408,1.2408,38.263
0.0014476,1.4476,84.7548,0.0014476,1.4476,40.361
0.0016544,1.6544,71.2404,0.0016544,1.6544,43.037
0.0018612,1.8612,68.8608,0.0018612,1.8612,37.132
0.002068,2.068,77.2968,0.002068,2.068,41.779
0.0022748,2.2748,54.6864,0.0022748,2.2748,44.07
0.0024816,2.4816,62.0712,0.0024816,2.4816,45.283
0.0026884,2.6884,63.7164,0.0026884,2.6884,35.444
0.0028952,2.8952,73.1484,0.0028952,2.8952,53.291
0.003102,3.102,64.7256,0.003102,3.102,41.253
0.0033088,3.3088,69.9228,0.0033088,3.3088,43.056
0.0035156,3.5156,66.0456,0.0035156,3.5156,54.327
0.0037224,3.7224,60.8448,0.0037224,3.7224,33.08
0.0039292,3.9292,63.726,0.0039292,3.9292,37.206
0.004136,4.136,70.9032,0.004136,4.136,35.623
0.0043428,4.3428,65.034,0.0043428,4.3428,42.143
0.0045496,4.5496,67.6752,0.0045496,4.5496,43.158
0.0047564,4.7564,67.3152,0.0047564,4.7564,38.827
0.0049632,4.9632,51.12,0.0049632,4.9632,38.988
0.00517,5.17,60.4296,0.00517,5.17,37.364
0.0053768,5.3768,56.412,0.0053768,5.3768,28.667
0.0055836,5.5836,58.7568,0.0055836,5.5836,41.138
0.0057904,5.7904,57.7176,0.0057904,5.7904,33.685
0.0059972,5.9972,61.38,0.0059972,5.9972,24.68
0.006204,6.204,50.1024,0.006204,6.204,36.036
0.0064108,6.4108,50.0388,0.0064108,6.4108,37.073
0.0066176,6.6176,53.6208,0.0066176,6.6176,35.857
0.0068244,6.8244,50.9928,0.0068244,6.8244,31.9
0.0070312,7.0312,50.826,0.0070312,7.0312,31.671
0.007238,7.238,55.4016,0.007238,7.238,27.8
0.0074448,7.4448,47.3184,0.0074448,7.4448,24.919
0.0076516,7.6516,46.7568,0.0076516,7.6516,23.244
0.0078584,7.8584,52.596,0.0078584,7.8584,25.424
0.0080652,8.0652,48.918,0.0080652,8.0652,34.773
0.008272,8.272,45.3552,0.008272,8.272,30.067
0.0084788,8.4788,48.1884,0.0084788,8.4788,23.358
0.0086855,8.6855,50.0796,0.0086855,8.6855,30.128
0.0088923,8.8923,47.9556,0.0088923,8.8923,30.72
0.0090991,9.0991,51.4884,0.0090991,9.0991,24.22
0.0093059,9.3059,48.87,0.0093059,9.3059,29.969
0.0095127,9.5127,42.8964,0.0095127,9.5127,28.095
0.0097195,9.7195,45.5748,0.0097195,9.7195,27.625
0.0099263,9.9263,50.6448,0.0099263,9.9263,28.44
0.010133,10.133,46.2264,0.010133,10.133,21.934
0.01034,10.34,49.0824,0.01034,10.34,28.413
0.010547,10.547,48.9672,0.010547,10.547,23.868
0.010754,10.754,49.1364,0.010754,10.754,30.009
0.01096,10.96,46.4028,0.01096,10.96,29.05
0.011167,11.167,48.8352,0.011167,11.167,23.469
0.011374,11.374,54.5928,0.011374,11.374,24.795
0.011581,11.581,51.1356,0.011581,11.581,29.006
0.011788,11.788,49.6116,0.011788,11.788,26.964
0.011994,11.994,49.3128,0.011994,11.994,24.633
0.012201,12.201,53.0856,0.012201,12.201,27.015
0.012408,12.408,52.2264,0.012408,12.408,25.844
0.012615,12.615,44.994,0.012615,12.615,25.659
0.012822,12.822,52.0524,0.012822,12.822,25.982
0.013028,13.028,51.72,0.013028,13.028,28.173
0.013235,13.235,50.6892,0.013235,13.235,25.674
0.013442,13.442,46.0608,0.013442,13.442,25.9
0.013649,13.649,51.0852,0.013649,13.649,24.359
0.013856,13.856,48.9516,0.013856,13.856,26.805
0.014062,14.062,54.4152,0.014062,14.062,25.72
0.014269,14.269,59.1132,0.014269,14.269,26.465
0.014476,14.476,54.9012,0.014476,14.476,24.876
0.014683,14.683,50.3832,0.014683,14.683,31.082
0.01489,14.89,52.248,0.01489,14.89,29.972
0.015096,15.096,54.6912,0.015096,15.096,32.825
0.015303,15.303,54.246,0.015303,15.303,33.449
0.01551,15.51,53.97,0.01551,15.51,28.04
0.015717,15.717,57.486,0.015717,15.717,27.517
0.015924,15.924,56.688,0.015924,15.924,34.308
0.01613,16.13,56.6376,0.01613,16.13,32.702
0.016337,16.337,57.8112,0.016337,16.337,29.213
0.016544,16.544,54.81,0.016544,16.544,34.561
0.016751,16.751,60.8124,0.016751,16.751,37.974
0.016958,16.958,55.7376,0.016958,16.958,33.284
0.017164,17.164,57.2628,0.017164,17.164,34.012
0.017371,17.371,64.7424,0.017371,17.371,24.65
0.017578,17.578,71.7492,0.017578,17.578,26.721
0.017785,17.785,59.4444,0.017785,17.785,36.064
0.017991,17.991,60.0936,0.017991,17.991,34.34
0.018198,18.198,63.882,0.018198,18.198,30.216
0.018405,18.405,70.6092,0.018405,18.405,34.979
0.018612,18.612,63.6456,0.018612,18.612,37.14
0.018819,18.819,61.5408,0.018819,18.819,30.136
0.019025,19.025,64.0884,0.019025,19.025,29.645
0.019232,19.232,64.7076,0.019232,19.232,33.094
0.019439,19.439,63.0408,0.019439,19.439,31.164
0.019646,19.646,59.1192,0.019646,19.646,26.995
0.019853,19.853,63.8604,0.019853,19.853,33.931
0.020059,20.059,70.0428,0.020059,20.059,34.086
0.020266,20.266,76.7904,0.020266,20.266,30.645
0.020473,20.473,67.5768,0.020473,20.473,32.106
0.02068,20.68,71.58,0.02068,20.68,31.141
0.020887,20.887,63.3156,0.020887,20.887,36.2
0.021093,21.093,66.024,0.021093,21.093,36.142
0.0213,21.3,69.1452,0.0213,21.3,30.627
0.021507,21.507,56.8848,0.021507,21.507,34.927
0.021714,21.714,58.7544,0.021714,21.714,30.54
0.021921,21.921,65.5056,0.021921,21.921,32.302
0.022127,22.127,70.3068,0.022127,22.127,35.993
0.022334,22.334,65.4348,0.022334,22.334,37.117
0.022541,22.541,60.4212,0.022541,22.541,36.223
0.022748,22.748,68.0652,0.022748,22.748,32.841
0.022955,22.955,67.1412,0.022955,22.955,30.804
0.023161,23.161,63.3672,0.023161,23.161,36.545
0.023368,23.368,70.4556,0.023368,23.368,35.05
0.023575,23.575,69.9204,0.023575,23.575,36.709
0.023782,23.782,64.6392,0.023782,23.782,38.899
0.023989,23.989,64.3356,0.023989,23.989,36.412
0.024195,24.195,69.3096,0.024195,24.195,33.92
0.024402,24.402,71.5248,0.024402,24.402,32
0.024609,24.609,72.0804,0.024609,24.609,33.627
0.024816,24.816,64.7556,0.024816,24.816,42.277
0.025023,25.023,72.0276,0.025023,25.023,35.521
0.025229,25.229,74.9472,0.025229,25.229,30.859
0.025436,25.436,78.468,0.025436,25.436,33.775
0.025643,25.643,77.1576,0.025643,25.643,34.937
0.02585,25.85,76.908,0.02585,25.85,34.845
0.026057,26.057,92.5704,0.026057,26.057,34.564
0.026263,26.263,74.3796,0.026263,26.263,38.764
0.02647,26.47,64.6644,0.02647,26.47,36.568
0.026677,26.677,77.136,0.026677,26.677,40.537
0.026884,26.884,70.128,0.026884,26.884,35.794
0.027091,27.091,72.0828,0.027091,27.091,36.491
0.027297,27.297,85.2924,0.027297,27.297,37.61
0.027504,27.504,80.7756,0.027504,27.504,39.143
0.027711,27.711,81.0408,0.027711,27.711,42.71
0.027918,27.918,74.9628,0.027918,27.918,38.188
0.028125,28.125,71.22,0.028125,28.125,32.378
0.028331,28.331,84.846,0.028331,28.331,39.384
0.028538,28.538,88.6632,0.028538,28.538,37.546
0.028745,28.745,77.5488,0.028745,28.745,37.983
0.028952,28.952,73.8192,0.028952,28.952,38.056
0.029159,29.159,79.356,0.029159,29.159,32.869
0.029365,29.365,75.4008,0.029365,29.365,39.181
0.029572,29.572,77.6976,0.029572,29.572,39.827
0.029779,29.779,77.634,0.029779,29.779,33.205
0.029986,29.986,80.406,0.029986,29.986,31.762
0.030193,30.193,80.652,0.030193,30.193,33.411
0.030399,30.399,82.9104,0.030399,30.399,35.9
0.030606,30.606,92.76,0.030606,30.606,43.165
0.030813,30.813,98.2824,0.030813,30.813,41.791
0.03102,31.02,83.7648,0.03102,31.02,32.634
0.031227,31.227,70.8576,0.031227,31.227,31.268
0.031433,31.433,77.0976,0.031433,31.433,37.655
0.03164,31.64,73.1988,0.03164,31.64,38.879
0.031847,31.847,77.7492,0.031847,31.847,43.631
0.032054,32.054,84.5652,0.032054,32.054,40.656
0.032261,32.261,75.1848,0.032261,32.261,40.626
0.032467,32.467,65.6208,0.032467,32.467,42.3
0.032674,32.674,72.1824,0.032674,32.674,41.33
0.032881,32.881,90.6744,0.032881,32.881,48.643
0.033088,33.088,86.8452,0.033088,33.088,43.698
0.033295,33.295,62.9844,0.033295,33.295,37.966
0.033501,33.501,72.402,0.033501,33.501,33.383
0.033708,33.708,82.2888,0.033708,33.708,30.561
0.033915,33.915,80.6796,0.033915,33.915,38.153
0.034122,34.122,73.2252,0.034122,34.122,40.408
0.034329,34.329,68.0316,0.034329,34.329,40.88
0.034535,34.535,73.344,0.034535,34.535,36.902
0.034742,34.742,69.9396,0.034742,34.742,38.996
0.034949,34.949,78.996,0.034949,34.949,37.25
0.035156,35.156,85.9368,0.035156,35.156,35.354
0.035363,35.363,85.968,0.035363,35.363,34.913
0.035569,35.569,78.4332,0.035569,35.569,44.217
0.035776,35.776,59.3724,0.035776,35.776,44.209
0.035983,35.983,65.1156,0.035983,35.983,38.034
0.03619,36.19,75.1956,0.03619,36.19,42.337
0.036397,36.397,90.1032,0.036397,36.397,43.462
0.036603,36.603,86.2524,0.036603,36.603,35.888
0.03681,36.81,72.6984,0.03681,36.81,30.722
0.037017,37.017,67.1928,0.037017,37.017,36.951
0.037224,37.224,69.426,0.037224,37.224,37.937
0.037431,37.431,69.9564,0.037431,37.431,36.968
0.037637,37.637,76.2108,0.037637,37.637,34.914
0.037844,37.844,85.2888,0.037844,37.844,35.893
0.038051,38.051,85.128,0.038051,38.051,38.981
0.038258,38.258,76.3164,0.038258,38.258,45.395
0.038465,38.465,63.4512,0.038465,38.465,38.531
0.038671,38.671,71.2656,0.038671,38.671,37.712
0.038878,38.878,79.746,0.038878,38.878,37.496
0.039085,39.085,70.3848,0.039085,39.085,43.809
0.039292,39.292,61.0872,0.039292,39.292,42.2
0.039499,39.499,61.8108,0.039499,39.499,34.916
