Frequency (eV),Frequency (meV),vDOS Room Temperature,Frequency (eV),Frequency (meV),vDOS Cryo Temperature
0,0,15,0,0,5.99144E-14
0.00024328,0.24328,29.73,0.0002068,0.2068,63.87469
0.00048656,0.48656,34.318,0.0004136,0.4136,69.74803
0.00072984,0.72984,39.841,0.0006204,0.6204,59.3747
0.00097313,0.97313,37.748,0.0008272,0.8272,48.43993
0.0012164,1.2164,40.325,0.001034,1.034,38.64498
0.0014597,1.4597,41.312,0.0012408,1.2408,26.09607
0.001703,1.703,41.475,0.0014476,1.4476,42.87756
0.0019463,1.9463,40.088,0.0016544,1.6544,34.03488
0.0021895,2.1895,36.837,0.0018612,1.8612,31.29302
0.0024328,2.4328,33.374,0.002068,2.068,51.96224
0.0026761,2.6761,38.529,0.0022748,2.2748,48.97838
0.0029194,2.9194,37.249,0.0024816,2.4816,54.14992
0.0031627,3.1627,32.814,0.0026884,2.6884,51.89085
0.0034059,3.4059,32.727,0.0028952,2.8952,60.04867
0.0036492,3.6492,35.336,0.003102,3.102,62.53522
0.0038925,3.8925,40.291,0.0033088,3.3088,49.27604
0.0041358,4.1358,37.2,0.0035156,3.5156,54.23583
0.0043791,4.3791,34.864,0.0037224,3.7224,50.81395
0.0046224,4.6224,37.794,0.0039292,3.9292,43.24782
0.0048656,4.8656,38.881,0.004136,4.136,42.27619
0.0051089,5.1089,35.601,0.0043428,4.3428,41.83212
0.0053522,5.3522,37.142,0.0045496,4.5496,37.1954
0.0055955,5.5955,40.807,0.0047564,4.7564,33.48312
0.0058388,5.8388,42.581,0.0049632,4.9632,37.08771
0.006082,6.082,36.571,0.00517,5.17,31.02682
0.0063253,6.3253,36.685,0.0053768,5.3768,40.45756
0.0065686,6.5686,37.623,0.0055836,5.5836,42.03661
0.0068119,6.8119,38.581,0.0057904,5.7904,41.71354
0.0070552,7.0552,40.477,0.0059972,5.9972,49.48295
0.0072984,7.2984,44.436,0.006204,6.204,43.58057
0.0075417,7.5417,45.476,0.0064108,6.4108,41.43524
0.007785,7.785,39.834,0.0066176,6.6176,38.72847
0.0080283,8.0283,44.73,0.0068244,6.8244,52.10623
0.0082716,8.2716,48.058,0.0070312,7.0312,49.34501
0.0085149,8.5149,39.146,0.007238,7.238,37.87663
0.0087581,8.7581,37.263,0.0074448,7.4448,36.69083
0.0090014,9.0014,40.439,0.0076516,7.6516,38.22632
0.0092447,9.2447,44.448,0.0078584,7.8584,40.62091
0.009488,9.488,41.334,0.0080652,8.0652,38.28561
0.0097313,9.7313,39.128,0.008272,8.272,33.38269
0.0099745,9.9745,41.109,0.0084788,8.4788,35.55585
0.010218,10.218,44.327,0.0086855,8.6855,32.50907
0.010461,10.461,43.989,0.0088923,8.8923,36.22014
0.010704,10.704,40.665,0.0090991,9.0991,29.79262
0.010948,10.948,41.079,0.0093059,9.3059,32.41832
0.011191,11.191,42.899,0.0095127,9.5127,36.12455
0.011434,11.434,44.66,0.0097195,9.7195,36.2637
0.011678,11.678,42.026,0.0099263,9.9263,35.56432
0.011921,11.921,43.966,0.010133,10.133,32.55021
0.012164,12.164,41.507,0.01034,10.34,35.57158
0.012407,12.407,37.553,0.010547,10.547,32.71235
0.012651,12.651,39.14,0.010754,10.754,28.83309
0.012894,12.894,38.209,0.01096,10.96,25.59997
0.013137,13.137,40.473,0.011167,11.167,27.05681
0.01338,13.38,41.655,0.011374,11.374,30.12779
0.013624,13.624,40.119,0.011581,11.581,27.59768
0.013867,13.867,41.293,0.011788,11.788,26.70954
0.01411,14.11,41.58,0.011994,11.994,25.72944
0.014354,14.354,42.036,0.012201,12.201,30.79087
0.014597,14.597,41.487,0.012408,12.408,28.27407
0.01484,14.84,40.367,0.012615,12.615,20.58331
0.015083,15.083,38.554,0.012822,12.822,26.37679
0.015327,15.327,43.3,0.013028,13.028,24.76507
0.01557,15.57,45.65,0.013235,13.235,30.61179
0.015813,15.813,42.001,0.013442,13.442,33.9647
0.016057,16.057,41.884,0.013649,13.649,27.13909
0.0163,16.3,45.783,0.013856,13.856,21.99538
0.016543,16.543,43.315,0.014062,14.062,22.32087
0.016786,16.786,45.619,0.014269,14.269,27.02898
0.01703,17.03,44.987,0.014476,14.476,25.5189
0.017273,17.273,42.61,0.014683,14.683,25.3616
0.017516,17.516,46.092,0.01489,14.89,27.27945
0.01776,17.76,47.213,0.015096,15.096,27.38351
0.018003,18.003,45.926,0.015303,15.303,27.8542
0.018246,18.246,43.286,0.01551,15.51,24.49645
