Frequency (eV),Frequency (meV),vDOS Room Temperature,Frequency (eV),Frequency (meV),vDOS Cryo Temperature
0,0,20,0,0,1.8874E-15
0.0002068,0.2068,69.3934,0.0002068,0.2068,77.545
0.0004136,0.4136,46.0218,0.0004136,0.4136,15.621
0.0006204,0.6204,53.3494,0.0006204,0.6204,24.682
0.0008272,0.8272,54.104,0.0008272,0.8272,31.69
0.001034,1.034,56.4392,0.001034,1.034,32.575
0.0012408,1.2408,59.0754,0.0012408,1.2408,36.374
0.0014476,1.4476,62.8274,0.0014476,1.4476,37.301
0.0016544,1.6544,65.8598,0.0016544,1.6544,36.558
0.0018612,1.8612,60.999,0.0018612,1.8612,38.578
0.002068,2.068,63.1522,0.002068,2.068,33.829
0.0022748,2.2748,57.9176,0.0022748,2.2748,30.177
0.0024816,2.4816,57.8868,0.0024816,2.4816,33.546
0.0026884,2.6884,46.7218,0.0026884,2.6884,35.661
0.0028952,2.8952,56.0668,0.0028952,2.8952,41.834
0.003102,3.102,60.2878,0.003102,3.102,37.884
0.0033088,3.3088,55.6356,0.0033088,3.3088,29.393
0.0035156,3.5156,58.9452,0.0035156,3.5156,27.926
0.0037224,3.7224,57.1854,0.0037224,3.7224,34.803
0.0039292,3.9292,59.5864,0.0039292,3.9292,39.615
0.004136,4.136,57.5396,0.004136,4.136,37.336
0.0043428,4.3428,58.7576,0.0043428,4.3428,34.1
0.0045496,4.5496,63.211,0.0045496,4.5496,32.193
0.0047564,4.7564,59.6914,0.0047564,4.7564,38.504
0.0049632,4.9632,56.2782,0.0049632,4.9632,35.402
0.00517,5.17,62.35,0.00517,5.17,32.244
0.0053768,5.3768,71.4276,0.0053768,5.3768,33.548
0.0055836,5.5836,63.4518,0.0055836,5.5836,28.73
0.0057904,5.7904,62.9604,0.0057904,5.7904,32.366
0.0059972,5.9972,66.8804,0.0059972,5.9972,34.055
0.006204,6.204,60.173,0.006204,6.204,32.479
0.0064108,6.4108,58.556,0.0064108,6.4108,28.656
0.0066176,6.6176,59.5276,0.0066176,6.6176,26.217
0.0068244,6.8244,65.3096,0.0068244,6.8244,29.139
0.0070312,7.0312,63.9726,0.0070312,7.0312,27.43
0.007238,7.238,60.9024,0.007238,7.238,22.786
0.0074448,7.4448,55.9114,0.0074448,7.4448,21.045
0.0076516,7.6516,53.565,0.0076516,7.6516,24.284
0.0078584,7.8584,60.0288,0.0078584,7.8584,27.444
